Filename,cA3_Energy,cA3_Entropy,cD3_Energy,cD3_Entropy,cD2_Energy,cD2_Entropy,cD1_Energy,cD1_Entropy,Label
0_george_0.wav,13.390825,4.9845266,2.4378967,5.1131735,0.821635,5.373542,2.2118309,5.287521,0
0_george_1.wav,8.250371,5.236312,2.3581834,5.1453514,0.81279767,5.2041883,0.41006052,5.86275,0
0_george_10.wav,7.6346374,5.0798063,2.6373782,4.972609,0.74478143,5.171397,0.8677561,5.5272317,0
0_george_11.wav,4.7615795,4.9985714,1.7084072,5.02596,0.76230675,5.2592683,0.95860285,5.3953667,0
0_george_12.wav,4.860956,5.1765485,1.7196221,5.062618,1.1956005,5.268058,0.9774227,5.6342573,0
0_george_13.wav,10.230389,5.270014,3.695177,5.315886,1.919228,5.6367693,1.4808022,5.7755957,0
0_george_14.wav,11.746012,5.3815966,2.5690327,5.171507,1.3436801,5.7402678,1.4913266,5.856813,0
0_george_15.wav,11.108633,5.1647997,4.032011,4.8286786,1.1001067,5.426377,1.0172683,5.5824556,0
0_george_16.wav,9.427918,5.270856,2.7662702,5.304117,0.61156523,5.6461954,0.99460554,5.594545,0
0_george_17.wav,9.1712475,5.202475,2.5313396,5.066559,0.45092487,5.5960026,0.31400007,5.772562,0
0_george_18.wav,14.247527,5.328165,3.7307522,5.0730133,0.93907064,5.6602297,0.7765766,5.867402,0
0_george_19.wav,12.674845,5.2081566,4.573118,4.917251,1.3407001,5.555277,0.93740225,5.94992,0
0_george_2.wav,20.161644,5.37648,5.521206,5.2021737,1.2197243,5.725955,1.1475564,5.921357,0
0_george_20.wav,4.450494,4.916571,1.420399,4.566804,0.24869573,5.1853347,0.22294939,6.020984,0
0_george_21.wav,10.087026,5.068025,3.9868762,4.8315706,1.1615996,5.3773594,1.3700652,5.507843,0
0_george_22.wav,8.925311,5.0855513,4.131877,4.790275,2.2834656,5.2673817,3.1119022,5.4496818,0
0_george_23.wav,12.941929,4.9863076,2.4218411,5.180693,0.4637879,5.4726896,0.68705606,5.7880087,0
0_george_24.wav,9.628775,4.82817,1.4520111,5.0976267,0.9739641,5.458875,3.6353078,5.336253,0
0_george_25.wav,13.065949,4.861662,3.1823585,4.94041,2.2486272,5.260175,4.5026355,5.2425084,0
0_george_26.wav,14.965367,5.188688,6.509117,4.7615876,2.4645913,5.659135,4.597225,5.7487416,0
0_george_27.wav,9.276682,5.17879,3.8615463,4.8386946,1.5825518,5.4987345,2.248606,5.427127,0
0_george_28.wav,6.581152,5.417279,2.4078407,5.185523,1.8499031,5.6805253,3.8244572,5.641426,0
0_george_29.wav,7.1311913,5.2631516,3.1001608,4.9168158,2.9182234,5.266475,6.6662855,4.982239,0
0_george_3.wav,19.105206,5.3111563,3.8504324,5.151439,2.2101457,5.7703867,3.377229,5.7253304,0
0_george_30.wav,10.580466,4.9714394,4.568612,4.876699,0.9819835,5.48452,2.0731082,5.42422,0
0_george_31.wav,2.1151748,4.5312767,1.2165499,4.4066396,0.592819,4.584384,0.3310608,4.955456,0
0_george_32.wav,19.453457,5.1314287,7.8567967,4.9559155,1.8621674,5.4729147,2.8256376,5.49416,0
0_george_33.wav,17.137024,4.976298,2.7645493,5.114627,1.4583547,5.5339465,2.6547573,5.641533,0
0_george_34.wav,12.470369,5.082291,5.336651,4.965187,1.2362441,5.4163766,1.7950169,5.2748494,0
0_george_35.wav,13.290489,5.0504093,4.954474,4.980088,1.4287667,5.282628,1.678254,5.403247,0
0_george_36.wav,13.687268,4.462928,2.2855458,4.7869887,1.6695539,4.8851914,2.1034374,5.190007,0
0_george_37.wav,4.453212,4.673815,1.249646,4.466901,0.45966,4.8035183,0.46702704,4.8553944,0
0_george_38.wav,4.491679,5.001551,1.0312898,5.149991,0.7865941,5.3091335,1.1921443,5.4467077,0
0_george_39.wav,8.886359,5.088909,2.6080937,4.983209,1.7943631,5.3186073,1.7706102,5.398007,0
0_george_4.wav,15.720922,5.109124,4.588603,5.0860567,2.0072021,5.4590178,3.6818993,5.4261236,0
0_george_40.wav,8.427164,5.09267,2.25178,5.137061,1.1974361,5.471666,0.9227605,5.805435,0
0_george_41.wav,11.783974,5.114512,2.2815557,4.940531,0.82698536,5.1423597,0.61568373,5.5699353,0
0_george_42.wav,14.371304,4.663578,1.9230192,4.8443604,1.6485561,5.4251018,1.675011,5.5965877,0
0_george_43.wav,12.968268,4.828077,1.7397642,5.011365,2.2265966,5.0853925,3.6486986,5.2627306,0
0_george_44.wav,13.984227,5.072274,3.0196426,4.933112,1.782173,5.472625,2.8814564,5.5180407,0
0_george_45.wav,7.9122963,5.0501165,2.2454867,4.7673473,1.3920293,5.290901,2.3270996,5.3926754,0
0_george_46.wav,7.860754,5.129587,2.7510886,4.890408,1.1441447,5.363948,2.056651,5.2916484,0
0_george_47.wav,7.6619015,5.051641,1.9570811,4.7154264,0.8982945,5.3326516,2.1790276,5.42392,0
0_george_48.wav,10.057198,5.1086864,2.7401948,4.788863,1.6981251,5.376097,3.74479,5.447922,0
0_george_49.wav,7.0947185,5.210353,2.355134,5.0430202,1.2829603,5.4472795,2.6940515,5.4165134,0
0_george_5.wav,27.825066,5.383771,3.6953359,5.245903,3.0371912,5.604202,4.094558,5.7870064,0
0_george_6.wav,40.358234,5.2768345,13.753403,5.1387267,2.7517262,5.6528664,2.9381685,5.6648417,0
0_george_7.wav,18.734543,5.3030834,5.0697985,5.2772098,1.089859,5.672653,0.9875704,5.802939,0
0_george_8.wav,19.198284,5.087515,5.4557695,5.0758123,1.7412894,5.5220532,1.9674112,5.630278,0
0_george_9.wav,6.9908795,5.1657295,1.3452799,5.077559,1.157034,5.472564,1.3258932,5.396709,0
0_jackson_0.wav,74.64541,5.2422047,17.48628,5.047075,3.3902073,5.463591,0.8181746,6.1872997,0
0_jackson_1.wav,33.878952,5.178185,9.230532,5.1746154,0.41014576,5.7546787,0.084262565,6.19449,0
0_jackson_10.wav,46.29647,5.505887,13.384661,5.319036,0.5853061,5.918204,0.26572242,5.9313564,0
0_jackson_11.wav,38.94459,5.317528,10.206097,5.4360332,0.7079627,5.834221,0.3171312,5.71433,0
0_jackson_12.wav,43.93801,5.170149,11.194995,5.2483673,0.784635,5.6537514,0.23192331,5.6374936,0
0_jackson_13.wav,35.87792,5.1235456,9.923461,5.223008,0.5365901,5.688135,0.17793682,5.536833,0
0_jackson_14.wav,37.436993,5.145208,8.506562,5.3459244,0.5976019,5.7616463,0.1883794,5.955306,0
0_jackson_15.wav,40.142456,5.222804,7.443568,5.3259616,0.51675856,5.8343315,0.23404601,5.65944,0
0_jackson_16.wav,46.00847,5.1889424,11.875926,5.1704426,0.54350305,5.8998938,0.14424452,5.880228,0
0_jackson_17.wav,92.093185,5.2229643,26.739574,5.3358846,2.240203,5.6746235,0.79756933,5.7383895,0
0_jackson_18.wav,38.63662,5.3227816,11.029697,5.2611675,0.8140949,5.59099,0.15705842,6.408835,0
0_jackson_19.wav,48.762062,5.111749,16.805435,5.212757,0.7978914,5.7611065,0.18247722,5.9320836,0
0_jackson_2.wav,57.428516,5.315238,13.850138,5.33954,0.54560095,5.7086673,0.114613794,6.003601,0
0_jackson_20.wav,63.57271,4.993805,30.400913,4.9298925,1.4677278,5.5823603,0.40579292,5.783407,0
0_jackson_21.wav,49.966545,5.225972,10.491785,5.3483706,0.9404322,5.618741,0.17605153,6.2391815,0
0_jackson_22.wav,49.827423,5.318006,15.392239,5.2774076,1.5246916,5.564813,0.4679243,5.684133,0
0_jackson_23.wav,46.56146,5.3435464,17.397762,5.286229,1.2625103,5.6937013,0.32795674,6.1185365,0
0_jackson_24.wav,45.822197,5.257013,12.771828,5.2599535,0.741415,5.6505413,0.41665962,5.796865,0
0_jackson_25.wav,42.764397,5.275292,9.767531,5.2247095,0.53158695,5.8253727,0.20150958,5.756524,0
0_jackson_26.wav,40.23479,4.9675703,15.109001,5.009073,9.122725,5.150726,2.4338348,5.9289703,0
0_jackson_27.wav,28.92404,5.0932198,9.313762,5.3745027,1.4555633,5.71374,0.46957502,6.1870446,0
0_jackson_28.wav,39.332283,5.0385227,14.100799,5.2901144,1.789643,5.5867996,0.7222303,6.098765,0
0_jackson_29.wav,22.874,5.1616664,8.037637,5.24799,0.89054656,5.6754394,0.3898456,5.957822,0
0_jackson_3.wav,51.10036,5.278724,12.034348,5.249657,0.86225986,5.567365,0.29626667,5.786672,0
0_jackson_30.wav,27.90263,5.164339,10.716446,5.3120832,0.98891824,5.6260567,0.22446501,6.196432,0
0_jackson_31.wav,22.129671,5.075276,9.584778,5.185753,1.1432232,5.5894094,0.39670783,5.86202,0
0_jackson_32.wav,26.519089,5.2395363,6.2796702,5.296734,1.7422019,5.6403036,0.8715036,5.5673223,0
0_jackson_33.wav,21.902863,5.183303,8.206059,5.280641,1.0026824,5.8356314,0.50335544,5.8929987,0
0_jackson_34.wav,20.115784,5.174115,5.544629,5.3240566,0.74708784,5.6897383,0.32885858,5.7926607,0
0_jackson_35.wav,19.527834,5.2028112,7.2964973,5.0959034,0.9346895,5.541974,0.26763692,6.0791826,0
0_jackson_36.wav,24.915386,5.193397,6.6961718,5.332395,1.1083722,5.738225,0.5231682,5.9402194,0
0_jackson_37.wav,26.619932,5.161669,8.680489,5.3920894,1.1316963,5.6778355,0.5225577,5.878905,0
0_jackson_38.wav,20.550697,5.1051216,5.8473125,5.3651094,0.7356895,5.857773,0.37730673,5.904458,0
0_jackson_39.wav,24.631432,5.096353,9.637041,5.3944383,1.0037615,5.6977406,0.3197472,6.17899,0
0_jackson_4.wav,34.23971,5.16061,9.411406,5.133004,0.5596256,5.628581,0.16202053,6.1342936,0
0_jackson_40.wav,85.906845,5.3357677,24.3466,5.129408,2.3628123,5.5820274,0.6017057,6.3259497,0
0_jackson_41.wav,94.24718,5.335416,32.26171,5.210865,2.5026278,5.7611675,0.7827876,6.1060066,0
0_jackson_42.wav,68.95563,5.2724957,22.639816,5.305327,1.7090029,5.8899937,0.5782598,5.8338184,0
0_jackson_43.wav,65.14058,5.203725,27.492666,5.1371474,2.1539583,5.747528,0.8539321,6.091804,0
0_jackson_44.wav,62.1951,5.2654085,21.227888,5.060549,1.5039159,5.6684523,0.6418433,5.917532,0
0_jackson_45.wav,75.030365,5.25737,35.98638,4.9264812,2.1335745,5.740078,0.78331417,5.9587145,0
0_jackson_46.wav,84.336655,5.166601,41.15062,4.6689067,2.7410471,5.5207806,1.0387051,5.8336654,0
0_jackson_47.wav,68.26046,5.2030106,17.8897,5.1377764,2.316742,5.6290083,1.0110142,5.9486804,0
0_jackson_48.wav,69.34244,5.2434554,21.358107,5.1783915,1.3705313,5.7149243,0.51348746,5.84906,0
0_jackson_49.wav,73.53374,5.296829,15.304589,5.1669235,1.1996998,5.7863584,1.1949536,5.5890565,0
0_jackson_5.wav,49.233402,5.2708263,18.120562,5.358037,1.0702088,5.6905274,0.2582095,6.2351127,0
0_jackson_6.wav,43.19112,5.329885,12.606134,4.986113,0.54527897,5.7151637,0.21387494,5.964119,0
0_jackson_7.wav,28.655865,5.315669,9.425504,5.164775,0.4285403,5.8123665,0.12180945,5.678533,0
0_jackson_8.wav,54.616493,5.1414495,16.487467,5.1735744,1.7198362,5.450608,0.42041242,5.9165883,0
0_jackson_9.wav,39.46714,5.331437,8.565927,5.4087286,0.34857342,5.9630594,0.20604727,5.7169137,0
0_lucas_0.wav,11.045197,4.86654,2.4425929,4.6557045,0.68989146,4.7422943,0.6080284,5.104315,0
0_lucas_1.wav,10.565016,4.943416,1.7500769,4.5710487,0.3856296,4.9507794,0.27356097,5.410825,0
0_lucas_10.wav,10.078932,4.6457763,1.7314477,4.6333504,1.2943559,4.4743357,0.799763,4.5817657,0
0_lucas_11.wav,11.195049,4.856803,3.1770246,4.543127,1.729737,4.717252,0.54165894,5.509448,0
0_lucas_12.wav,12.5787945,4.791994,2.4543593,4.7948904,0.76246583,4.9486694,0.41812998,4.9729767,0
0_lucas_13.wav,9.619156,4.7134113,1.6168087,4.564775,0.5113468,4.781304,0.20323424,5.6039515,0
0_lucas_14.wav,6.9350996,4.6563087,0.91343987,4.5742426,0.29487264,4.643138,0.14616676,5.36222,0
0_lucas_15.wav,10.883395,4.689897,2.2685583,4.579701,0.5667864,4.761054,0.33453393,5.0929728,0
0_lucas_16.wav,11.933375,4.7355957,1.9785081,4.6554437,0.8423816,4.572646,0.24579683,5.586363,0
0_lucas_17.wav,10.548704,4.849089,2.2378771,4.6883473,1.2297997,4.7163877,0.8451952,4.7954535,0
